date,volume
2019-11-07,2028245.0
2019-11-08,3046579.0
2019-11-11,1426679.0
2019-11-12,1451855.0
2019-11-13,1101257.0
2019-11-14,1227783.0
2019-11-15,1611368.0
2019-11-18,2947645.0
2019-11-19,2954328.0
2019-11-20,2041238.0
2019-11-21,4490232.0
2019-11-22,4922599.0
2019-11-25,3050009.0
2019-11-26,1446056.0
2019-11-27,3452184.0
2019-11-29,2272626.0
2019-12-02,2401917.0
2019-12-03,1332603.0
2019-12-04,2318838.0
2019-12-05,1592241.0
2019-12-06,1485535.0
2019-12-09,1595000.0
2019-12-10,1559399.0
2019-12-11,860532.0
2019-12-12,941517.0
2019-12-13,1360951.0
2019-12-16,2971600.0
2019-12-17,3276721.0
2019-12-18,3475068.0
2019-12-19,1914767.0
2019-12-20,2184700.0
2019-12-23,3647182.0
2019-12-24,1851893.0
2019-12-26,2744385.0
2019-12-27,2608521.0
2019-12-30,2553392.0
2019-12-31,3093799.0
2020-01-02,3377558.0
2020-01-03,3858799.0
2020-01-06,3450542.0
2020-01-07,7787364.0
2020-01-08,7626652.0
2020-01-09,3057689.0
2020-01-10,4485516.0
2020-01-13,2680591.0
2020-01-14,6932986.0
2020-01-15,3709078.0
2020-01-16,3078367.0
2020-01-17,3911640.0
2020-01-21,3997369.0
2020-01-22,2299248.0
2020-01-23,4281016.0
2020-01-24,2374798.0
2020-01-27,3124689.0
2020-01-28,3634483.0
2020-01-29,6848129.0
2020-01-30,7483146.0
2020-01-31,4674516.0
2020-02-03,3272509.0
2020-02-04,3227749.0
2020-02-05,6963768.0
2020-02-06,5313688.0
2020-02-07,3450261.0
2020-02-10,4763755.0
2020-02-11,7269021.0
2020-02-12,6291163.0
2020-02-13,5597548.0
2020-02-14,4327120.0
2020-02-18,6380284.0
2020-02-19,4840875.0
2020-02-20,5849251.0
2020-02-21,3671100.0
2020-02-24,7666972.0
2020-02-25,7397543.0
2020-02-26,8500303.0
2020-02-27,6697607.0
2020-02-28,4698525.0
2020-03-02,4341241.0
2020-03-03,4127408.0
2020-03-04,2981066.0
2020-03-05,6350441.0
2020-03-06,4238410.0
2020-03-09,9051912.0
2020-03-10,4923890.0
2020-03-11,5530764.0
2020-03-12,11750462.0
2020-03-13,10933569.0
2020-03-16,7240460.0
2020-03-17,5408652.0
2020-03-18,5589735.0
2020-03-19,8487054.0
2020-03-20,6952056.0
2020-03-23,4204967.0
2020-03-24,4561482.0
2020-03-25,4165800.0
2020-03-26,4711538.0
2020-03-27,3841166.0
2020-03-30,3654427.0
2020-03-31,2675503.0
2020-04-01,4274846.0
2020-04-02,7980626.0
2020-04-03,3059773.0
2020-04-06,4910448.0
2020-04-07,3469881.0
2020-04-08,2370540.0
2020-04-09,3274411.0
2020-04-13,4296846.0
2020-04-14,2931262.0
2020-04-15,2683162.0
2020-04-16,3216798.0
2020-04-17,2823524.0
2020-04-20,3809637.0
2020-04-21,3266412.0
2020-04-22,3524079.0
2020-04-23,7440468.0
2020-04-24,4186064.0
2020-04-27,3791927.0
2020-04-28,4546122.0
2020-04-29,9906960.0
2020-04-30,8234582.0
2020-05-01,4831764.0
2020-05-04,4594663.0
2020-05-05,4301836.0
2020-05-06,5799211.0
2020-05-07,13682029.0
2020-05-08,12475397.0
2020-05-11,13307486.0
2020-05-12,8984032.0
2020-05-13,7497585.0
2020-05-14,6486585.0
