start_time,close,high,low,open,volume
01/01/2019,3797.14,3810.16,3642.0,3701.23,23741.687033
02/01/2019,3858.56,3882.14,3750.45,3796.45,35156.463369
03/01/2019,3766.78,3862.74,3730.0,3857.57,29406.948359
04/01/2019,3792.01,3823.64,3703.57,3767.2,29519.554671
05/01/2019,3770.96,3840.99,3751.0,3790.09,30490.667751
06/01/2019,3987.6,4027.71,3740.0,3771.12,36553.806709
07/01/2019,3975.45,4017.9,3921.53,3987.62,31869.846264
08/01/2019,3955.13,4069.8,3903.0,3976.76,38901.423122
09/01/2019,3966.65,4006.81,3930.04,3955.45,28989.439511
10/01/2019,3585.88,3996.01,3540.0,3966.06,59402.22851
11/01/2019,3601.31,3658.0,3465.0,3585.88,38338.654733
12/01/2019,3583.13,3618.19,3530.0,3601.31,21999.928354
13/01/2019,3476.81,3611.1,3441.3,3584.1,26385.757454
14/01/2019,3626.09,3671.87,3467.02,3477.56,35235.211215
15/01/2019,3553.06,3648.42,3516.62,3626.08,34137.997459
16/01/2019,3591.84,3645.0,3543.51,3553.06,27480.179977
17/01/2019,3616.21,3634.7,3530.39,3591.84,29755.440838
18/01/2019,3594.87,3620.0,3565.75,3613.32,22713.446755
19/01/2019,3665.3,3720.0,3594.23,3594.87,22171.578123
20/01/2019,3539.28,3693.73,3475.0,3665.75,27901.938598
21/01/2019,3526.9,3559.51,3475.5,3539.26,19644.436839
22/01/2019,3570.93,3608.5,3434.85,3526.88,29336.442967
23/01/2019,3552.82,3607.98,3514.5,3570.41,24938.842698
24/01/2019,3569.62,3589.0,3529.22,3552.97,20826.25118
25/01/2019,3565.29,3587.15,3522.51,3569.07,17608.346671
26/01/2019,3565.25,3662.94,3545.0,3566.69,19476.532344
27/01/2019,3550.84,3579.0,3486.0,3565.62,22735.598162
28/01/2019,3434.15,3557.75,3380.27,3550.05,40405.111401
29/01/2019,3411.04,3443.45,3349.92,3434.0,29544.928977
30/01/2019,3458.18,3478.0,3387.1,3410.04,23968.260243
31/01/2019,3434.1,3489.2,3418.8,3457.5,29607.190253
01/02/2019,3462.07,3488.0,3401.2,3434.1,25260.476159
02/02/2019,3504.77,3526.4,3440.29,3462.2,17920.802
03/02/2019,3458.11,3511.09,3426.0,3504.06,19867.33639
04/02/2019,3463.22,3484.88,3433.31,3458.11,23131.981108
05/02/2019,3471.59,3478.97,3448.43,3463.22,25264.41503
06/02/2019,3405.37,3482.72,3380.0,3471.57,35310.244846
07/02/2019,3398.4,3426.45,3390.0,3407.0,18665.538638
08/02/2019,3659.04,3733.58,3373.1,3398.4,47968.058013
09/02/2019,3665.18,3680.02,3625.13,3660.27,24759.833719
10/02/2019,3680.06,3684.99,3609.76,3665.18,23250.602634
11/02/2019,3631.05,3684.9,3615.53,3679.75,24954.614571
12/02/2019,3631.46,3667.6,3582.34,3631.05,29479.59823
13/02/2019,3609.4,3670.0,3591.75,3631.51,25773.997648
14/02/2019,3590.56,3626.4,3568.11,3608.34,21753.501261
15/02/2019,3602.47,3653.23,3573.45,3590.57,20777.872899
16/02/2019,3618.41,3648.2,3597.91,3602.49,19565.992751
17/02/2019,3667.58,3700.11,3604.4,3617.22,25690.227779
18/02/2019,3898.6,3925.0,3655.0,3667.62,64042.730492
19/02/2019,3907.79,3994.52,3856.0,3897.35,50207.172667
